,gender,age_range,age,race,charges,prior_arrest,compas_score,score_numeric
2602,Male,Greater than 45,47,African-American,Att Tamper w/Physical Evidence,6,Low,1
2603,Male,Greater than 45,53,African-American,Burglary Unoccupied Dwelling,18,Medium,2
2604,Male,25 - 45,34,African-American,Possession of Cannabis,7,Medium,2
2605,Male,Greater than 45,45,Hispanic,Viol Prot Injunc Repeat Viol,1,High,4
2606,Male,25 - 45,27,African-American,arrest case no charge,10,High,8
2607,Female,Greater than 45,52,Caucasian,Battery,0,Low,1
2608,Male,25 - 45,26,African-American,Operating W/O Valid License,0,Low,3
2609,Male,25 - 45,25,African-American,Driving While License Revoked,9,Medium,4
2610,Male,Greater than 45,51,African-American,arrest case no charge,1,Low,2
2611,Female,25 - 45,29,African-American,Refuse to Supply DNA Sample,1,Low,2
2612,Male,25 - 45,39,African-American,arrest case no charge,1,Low,2
2613,Male,Greater than 45,46,Caucasian,Stalking (Aggravated),0,Low,1
2614,Male,25 - 45,28,Caucasian,Grand Theft in the 3rd Degree,6,Low,3
2615,Male,Greater than 45,57,African-American,Felony Battery (Dom Strang),0,Low,1
2616,Male,Less than 25,23,Hispanic,Sel/Pur/Mfr/Del Control Substa,2,Medium,5
2617,Male,25 - 45,36,Caucasian,Driving License Suspended,7,High,8
2618,Male,25 - 45,34,African-American,Felony Petit Theft,27,High,7
2619,Male,25 - 45,27,African-American,arrest case no charge,3,Low,2
2620,Male,25 - 45,25,African-American,Viol Injunct Domestic Violence,7,High,6
2621,Male,25 - 45,31,Caucasian,Grand Theft in the 3rd Degree,1,Medium,2
2622,Male,Less than 25,20,African-American,Grand Theft in the 3rd Degree,0,High,9
2623,Male,25 - 45,37,African-American,Burglary Unoccupied Dwelling,8,Low,1
2624,Male,Greater than 45,51,African-American,Possession of Cocaine,0,Low,1
2625,Male,Greater than 45,51,Hispanic,Disorderly Conduct,3,Low,1
2626,Female,Less than 25,21,Caucasian,Battery,0,Low,4
2627,Male,25 - 45,31,African-American,arrest case no charge,1,Low,2
2628,Female,Less than 25,22,Hispanic,DUI - Enhanced,0,Medium,4
2629,Male,Less than 25,23,Caucasian,,0,Medium,6
2630,Male,25 - 45,28,African-American,Resist Officer w/Violence,8,Medium,6
2631,Female,Less than 25,21,Hispanic,,0,High,6
2632,Male,Greater than 45,56,Caucasian,Possession of Cocaine,4,Low,1
2633,Male,Greater than 45,45,African-American,Att Burgl Unoccupied Dwel,15,High,7
2634,Male,25 - 45,26,Caucasian,Burglary Dwelling Occupied,7,Medium,4
2635,Male,Less than 25,24,Caucasian,,0,Medium,4
2636,Male,25 - 45,30,Caucasian,Resist Officer w/Violence,0,Low,1
2637,Male,25 - 45,33,Caucasian,Felony Battery (Dom Strang),7,High,2
2638,Male,Less than 25,23,Caucasian,Battery,0,Low,3
2639,Male,25 - 45,31,African-American,Poss Drugs W/O A Prescription,0,Low,2
2640,Female,25 - 45,29,Caucasian,Grand Theft in the 3rd Degree,1,Low,3
2641,Male,25 - 45,31,Other,Battery,0,Low,3
2642,Male,Less than 25,19,Hispanic,arrest case no charge,1,High,10
2643,Male,25 - 45,32,Caucasian,Aggravated Assault W/o Firearm,0,Low,1
2644,Male,25 - 45,30,Caucasian,Driving Under The Influence,1,Low,2
2645,Female,Greater than 45,48,Hispanic,arrest case no charge,9,Medium,6
2646,Male,25 - 45,36,Caucasian,arrest case no charge,9,Medium,7
2647,Male,Less than 25,23,Hispanic,Battery,0,Low,3
2648,Male,25 - 45,30,African-American,Battery,0,Low,2
2649,Male,Greater than 45,66,Caucasian,arrest case no charge,1,Low,1
2650,Female,25 - 45,40,African-American,Grand Theft in the 1st Degree,0,Low,1
2651,Male,Greater than 45,59,African-American,Battery,4,Low,2
2652,Male,25 - 45,25,African-American,arrest case no charge,5,Medium,7
2653,Male,Greater than 45,50,Caucasian,Felony Battery (Dom Strang),1,Low,1
2654,Male,25 - 45,27,African-American,Leave Accd/Attend Veh/Less $50,3,Medium,3
2655,Male,Less than 25,22,African-American,Grand Theft in the 3rd Degree,0,Low,6
2656,Male,Greater than 45,58,Caucasian,Fel Drive License Perm Revoke,1,Low,1
2657,Male,Greater than 45,49,African-American,Battery,1,Low,1
2658,Male,25 - 45,29,Caucasian,Grand Theft in the 3rd Degree,2,Low,2
2659,Male,25 - 45,37,Caucasian,arrest case no charge,1,Low,1
2660,Male,25 - 45,31,Caucasian,Felony Petit Theft,1,Medium,4
2661,Female,25 - 45,44,Caucasian,Felony Battery w/Prior Convict,11,Medium,2
2662,Male,Less than 25,24,African-American,Burglary Unoccupied Dwelling,2,Low,3
2663,Male,25 - 45,26,African-American,arrest case no charge,1,Low,3
2664,Male,25 - 45,27,African-American,Aggravated Assault W/Dead Weap,0,High,7
2665,Female,25 - 45,35,African-American,Possession of Cocaine,13,High,9
2666,Female,25 - 45,34,African-American,Resist Officer w/Violence,5,Medium,5
2667,Male,Less than 25,24,Caucasian,Possession Of Alprazolam,0,Medium,4
2668,Female,25 - 45,35,Caucasian,Aggrav Battery w/Deadly Weapon,3,Low,2
2669,Male,Greater than 45,65,Caucasian,Battery,4,Low,1
2670,Male,Greater than 45,63,Other,Battery,0,Low,1
2671,Male,25 - 45,29,African-American,Grand Theft in the 3rd Degree,7,High,7
2672,Male,25 - 45,30,African-American,Aggravated Assault W/dead Weap,5,High,6
2673,Male,Less than 25,23,African-American,Possession Burglary Tools,1,Low,4
2674,Male,Greater than 45,47,Hispanic,Battery,3,Low,1
2675,Male,25 - 45,41,Caucasian,arrest case no charge,13,Medium,2
2676,Male,25 - 45,32,Caucasian,Possession Of Heroin,2,Low,1
2677,Male,Less than 25,22,Caucasian,arrest case no charge,2,Medium,5
2678,Male,Less than 25,21,African-American,Battery,0,Low,5
2679,Female,25 - 45,43,Caucasian,Battery,0,Low,1
2680,Male,25 - 45,29,African-American,Poss of Cocaine W/I/D/S 1000FT Park,0,High,4
2681,Male,25 - 45,43,African-American,Robbery Sudd Snatch No Weapon,1,Low,3
2682,Male,25 - 45,25,African-American,arrest case no charge,1,Low,3
2683,Male,Greater than 45,47,Caucasian,Battery,0,Low,1
2684,Male,Greater than 45,49,Caucasian,Driving Under The Influence,0,Low,1
2685,Female,Less than 25,21,African-American,Grand Theft in the 3rd Degree,0,Medium,6
2686,Female,25 - 45,25,African-American,Disorderly Conduct,1,Medium,3
2687,Male,Greater than 45,54,Caucasian,Battery,0,Low,1
2688,Male,25 - 45,34,African-American,Lewd Act Presence Child 16-,3,Low,1
2689,Female,25 - 45,28,African-American,Battery,2,Low,2
2690,Female,Greater than 45,53,Caucasian,Poss Contr Subst W/o Prescript,4,Low,1
2691,Male,Greater than 45,54,African-American,Soliciting For Prostitution,0,Low,1
2692,Male,25 - 45,37,Hispanic,arrest case no charge,3,Low,2
2693,Male,25 - 45,26,Hispanic,Aggravated Battery / Pregnant,4,High,9
2694,Male,25 - 45,28,Caucasian,Possession Of Heroin,1,High,4
2695,Male,Greater than 45,77,Caucasian,Felony DUI (level 3),5,Low,1
2696,Male,25 - 45,34,African-American,Felony Driving While Lic Suspd,2,Low,1
2697,Male,Greater than 45,50,Hispanic,Extradition/Defendants,11,High,3
2698,Female,Greater than 45,60,Caucasian,Battery on Law Enforc Officer,0,Low,1
2699,Female,25 - 45,26,Caucasian,Disorderly Intoxication,2,High,3
2700,Male,Less than 25,22,African-American,Grand Theft in the 3rd Degree,0,Low,5
2701,Male,25 - 45,36,Caucasian,,0,Low,2
2702,Male,Less than 25,22,African-American,Robbery Sudd Snatch No Weapon,1,Medium,9
2703,Male,Greater than 45,51,African-American,Felony Driving While Lic Suspd,3,Medium,4
2704,Male,25 - 45,29,African-American,Felony Battery (Dom Strang),0,Low,2
2705,Male,25 - 45,26,African-American,Expired DL More Than 6 Months,1,Low,5
2706,Female,25 - 45,28,African-American,Uttering a Forged Instrument,1,Medium,5
2707,Male,25 - 45,36,Caucasian,Grand Theft in the 3rd Degree,6,Medium,3
2708,Male,25 - 45,28,African-American,arrest case no charge,5,Medium,5
2709,Male,Less than 25,22,African-American,,0,Low,5
2710,Female,25 - 45,25,African-American,Uttering a Forged Instrument,2,Low,4
2711,Male,25 - 45,33,Caucasian,Grand Theft (Motor Vehicle),0,Low,1
2712,Male,25 - 45,37,African-American,arrest case no charge,1,Medium,2
2713,Male,25 - 45,43,Caucasian,Battery,4,Low,4
2714,Male,Greater than 45,45,Hispanic,Battery,1,Medium,3
2715,Male,Less than 25,20,Hispanic,Alcohol Bev Under Age Of 21,0,Low,5
2716,Male,25 - 45,32,Caucasian,Resist Officer w/Violence,5,Medium,7
2717,Male,25 - 45,31,Caucasian,arrest case no charge,5,Low,1
2718,Female,25 - 45,35,African-American,Possession of Cocaine,0,Low,2
2719,Male,Less than 25,23,African-American,Felony Batt(Great Bodily Harm),1,Low,3
2720,Male,25 - 45,41,Hispanic,Aggrav Battery w/Deadly Weapon,1,Low,1
2721,Male,25 - 45,25,Other,arrest case no charge,24,High,6
2722,Male,25 - 45,35,Hispanic,Aggravated Assault W/Dead Weap,12,High,6
2723,Male,25 - 45,25,African-American,Crim Use of Personal ID Info,4,Medium,5
2724,Male,Greater than 45,69,Caucasian,Driving While License Revoked,6,Low,1
2725,Male,Less than 25,22,African-American,arrest case no charge,1,Low,5
2726,Male,25 - 45,25,African-American,Poss Pyrrolidinovalerophenone,4,High,9
2727,Male,25 - 45,29,African-American,Aggravated Battery / Pregnant,1,High,8
2728,Male,Less than 25,24,Asian,Battery,0,Low,4
2729,Male,Less than 25,22,Native American,Possess Mot Veh W/Alt Vin #,1,Low,5
2730,Male,Less than 25,21,African-American,Grand Theft (Motor Vehicle),3,Medium,6
2731,Male,25 - 45,28,Hispanic,Grand Theft in the 3rd Degree,0,Low,4
2732,Male,Greater than 45,47,African-American,Poss Wep Conv Felon,23,Medium,5
2733,Male,Greater than 45,59,Other,Possession Of Alprazolam,1,Low,1
2734,Male,25 - 45,35,African-American,Battery,1,Low,2
2735,Male,25 - 45,29,African-American,Poss Pyrrolidinovalerophenone,13,High,10
2736,Male,25 - 45,36,Caucasian,Grand Theft in the 3rd Degree,14,Low,1
2737,Male,25 - 45,26,African-American,Drivg While Lic Suspd/Revk/Can,9,High,7
2738,Male,25 - 45,31,Other,Viol Prot Injunc Repeat Viol,0,Low,1
2739,Male,25 - 45,31,Caucasian,arrest case no charge,8,Medium,6
2740,Male,25 - 45,32,African-American,Grand Theft in the 3rd Degree,8,Low,3
2741,Male,25 - 45,33,Caucasian,,0,Low,2
2742,Female,25 - 45,27,Caucasian,arrest case no charge,3,Medium,4
2743,Female,25 - 45,32,Caucasian,Grand Theft in the 3rd Degree,0,Low,2
2744,Male,Greater than 45,68,Caucasian,Possession of Cocaine,0,Low,1
2745,Male,25 - 45,28,Caucasian,"Deliver 3,4 Methylenediox",0,Medium,3
2746,Male,Greater than 45,48,Caucasian,Driving Under The Influence,1,Low,1
2747,Male,Less than 25,23,Caucasian,arrest case no charge,2,Medium,7
2748,Male,25 - 45,44,Caucasian,Battery,0,Low,1
2749,Male,25 - 45,42,African-American,Driving License Suspended,7,Medium,3
2750,Male,25 - 45,39,African-American,Grand Theft in the 3rd Degree,5,Medium,4
2751,Female,Greater than 45,46,Hispanic,Grand Theft in the 3rd Degree,2,Low,1
2752,Male,Greater than 45,55,Caucasian,Battery,0,Medium,3
2753,Male,25 - 45,27,African-American,Burglary Dwelling Occupied,5,High,4
2754,Female,25 - 45,31,Caucasian,Battery,0,High,5
2755,Male,25 - 45,30,African-American,Poss Pyrrolidinovalerophenone,6,Medium,3
2756,Female,Less than 25,23,African-American,Aggravated Assault W/Dead Weap,0,Medium,5
2757,Male,Greater than 45,52,African-American,Felony Battery (Dom Strang),2,Low,1
2758,Male,25 - 45,25,African-American,Poss Tetrahydrocannabinols,0,Low,4
2759,Male,25 - 45,32,Caucasian,Refuse Submit Blood/Breath Test,6,Medium,4
2760,Male,25 - 45,36,African-American,Driving While License Revoked,2,Medium,4
2761,Male,Greater than 45,52,Caucasian,Stalking,2,Low,1
2762,Male,Less than 25,21,African-American,arrest case no charge,3,Medium,6
2763,Male,25 - 45,39,African-American,,0,Low,2
2764,Male,25 - 45,39,Caucasian,Driving Under The Influence,2,Low,2
2765,Female,25 - 45,26,African-American,Battery,0,Low,2
2766,Male,25 - 45,28,African-American,Grand Theft in the 3rd Degree,8,High,7
2767,Male,Greater than 45,67,Caucasian,Refuse Submit Blood/Breath Test,2,Low,1
2768,Male,Greater than 45,51,Caucasian,Felony DUI (level 3),2,Low,1
2769,Male,25 - 45,29,African-American,Felony Battery (Dom Strang),0,Medium,3
2770,Female,Less than 25,22,Other,Aggrav Battery w/Deadly Weapon,0,Low,5
2771,Male,25 - 45,37,Caucasian,Driving Under The Influence,3,Low,1
2772,Male,Less than 25,23,African-American,Criminal Mischief,2,High,8
2773,Female,Greater than 45,49,African-American,Battery,14,Medium,3
2774,Male,25 - 45,38,Other,Grand Theft (Motor Vehicle),9,Medium,4
2775,Male,25 - 45,32,Caucasian,Trespass Other Struct/Conve,9,Medium,4
2776,Male,25 - 45,41,Caucasian,Battery,9,Medium,2
2777,Male,25 - 45,25,African-American,Battery,1,Low,3
2778,Male,25 - 45,27,African-American,arrest case no charge,4,Medium,3
2779,Female,Greater than 45,57,Caucasian,Battery on Law Enforc Officer,3,Low,1
2780,Male,Greater than 45,58,Caucasian,Battery,0,Low,1
2781,Male,25 - 45,35,Caucasian,Possession of Cocaine,1,Low,3
2782,Male,25 - 45,44,African-American,Battery,19,High,6
2783,Female,25 - 45,27,African-American,Possession of Cocaine,1,Medium,3
2784,Female,Greater than 45,59,African-American,arrest case no charge,2,Low,1
2785,Male,25 - 45,31,Caucasian,Disorderly Conduct,0,Low,2
2786,Male,25 - 45,28,African-American,Aggrav Stalking After Injunctn,1,Low,5
2787,Female,25 - 45,39,African-American,Grand Theft in the 3rd Degree,0,Medium,2
2788,Male,Greater than 45,54,Caucasian,Agg Battery Grt/Bod/Harm,0,Low,1
2789,Male,Less than 25,21,Hispanic,Battery,0,Low,6
2790,Male,25 - 45,43,Caucasian,DUI Property Damage/Injury,0,Low,1
2791,Female,Greater than 45,46,African-American,Grand Theft in the 3rd Degree,0,Medium,9
2792,Male,25 - 45,31,African-American,Battery,5,High,10
2793,Male,25 - 45,30,African-American,Pos Cannabis W/Intent Sel/Del,11,High,9
2794,Male,25 - 45,27,Caucasian,Battery,4,Low,6
2795,Male,Greater than 45,60,African-American,Felony Petit Theft,15,Medium,1
2796,Male,Greater than 45,53,Caucasian,arrest case no charge,3,Low,1
2797,Male,25 - 45,28,African-American,Battery,0,Low,2
2798,Male,Greater than 45,46,Caucasian,Battery on a Person Over 65,1,Low,1
2799,Male,Less than 25,23,African-American,Possession of Cocaine,4,High,5
2800,Male,Less than 25,24,African-American,Possess Drug Paraphernalia,0,Medium,4
2801,Male,25 - 45,30,Other,Burglary Unoccupied Dwelling,5,Medium,2
2802,Male,25 - 45,43,Caucasian,Susp Drivers Lic 1st Offense,0,Low,1
2803,Male,Greater than 45,69,Caucasian,Felony/Driving Under Influence,0,Low,1
2804,Male,25 - 45,44,African-American,Driving Under The Influence,10,Low,2
2805,Male,Greater than 45,51,African-American,arrest case no charge,4,Medium,6
2806,Male,25 - 45,25,African-American,Possess Cannabis/20 Grams Or Less,1,Medium,6
2807,Male,Less than 25,24,Hispanic,Solicit Deliver Cocaine,11,High,8
2808,Male,25 - 45,31,African-American,Attempt Burglary (Struct),1,Low,2
2809,Male,Less than 25,23,African-American,Pos Cannabis W/Intent Sel/Del,0,Low,4
2810,Male,25 - 45,29,Caucasian,Felony Battery (Dom Strang),0,Low,2
2811,Female,Less than 25,23,African-American,arrest case no charge,4,High,8
2812,Female,Less than 25,24,African-American,Possession of Cocaine,0,Medium,4
2813,Male,25 - 45,26,African-American,Prowling/Loitering,8,High,7
2814,Male,25 - 45,36,Caucasian,Viol Injunct Domestic Violence,5,Low,2
2815,Male,Greater than 45,55,Hispanic,arrest case no charge,6,Low,1
2816,Male,Greater than 45,59,African-American,Trespass After Warning,13,Low,1
2817,Male,25 - 45,27,Caucasian,arrest case no charge,1,High,7
2818,Male,25 - 45,41,African-American,,0,Medium,2
2819,Male,Less than 25,24,African-American,Felon in Pos of Firearm or Amm,0,High,9
2820,Male,Greater than 45,66,Caucasian,Battery,0,Low,1
2821,Female,25 - 45,36,Caucasian,Possession of Cocaine,3,Low,1
2822,Male,25 - 45,35,African-American,arrest case no charge,0,Medium,2
2823,Male,25 - 45,40,Other,False Imprisonment,0,Low,1
2824,Male,Greater than 45,53,Hispanic,Felony Petit Theft,9,High,5
2825,Male,Less than 25,23,Caucasian,Possession of Cocaine,1,Low,4
2826,Male,Less than 25,23,Caucasian,arrest case no charge,1,Medium,6
2827,Female,Less than 25,24,African-American,Battery,1,Medium,4
2828,Female,Less than 25,22,African-American,Battery,0,Medium,5
2829,Male,25 - 45,25,Hispanic,Crimin Mischief Damage $1000+,1,Low,3
2830,Male,Greater than 45,56,African-American,Possession of Cocaine,4,Low,1
2831,Male,25 - 45,29,African-American,Felony Driving While Lic Suspd,0,Low,5
2832,Female,25 - 45,36,Hispanic,DUI Blood Alcohol Above 0.20,1,Low,1
2833,Male,Greater than 45,62,Hispanic,arrest case no charge,1,Low,1
2834,Male,25 - 45,29,Native American,Possession of Cocaine,1,Low,2
2835,Male,25 - 45,29,Caucasian,arrest case no charge,10,Medium,3
2836,Male,Greater than 45,51,Asian,arrest case no charge,1,Low,1
2837,Female,Greater than 45,58,African-American,arrest case no charge,3,Low,1
2838,Male,25 - 45,27,Other,Grand Theft in the 3rd Degree,0,Low,3
2839,Male,25 - 45,38,Caucasian,Burglary Unoccupied Dwelling,2,Medium,2
2840,Male,25 - 45,43,Caucasian,,0,Low,1
2841,Male,Less than 25,24,Caucasian,DUI Level 0.15 Or Minor In Veh,3,Medium,6
2842,Male,Less than 25,22,African-American,Burglary Dwelling Armed,0,Low,6
2843,Male,25 - 45,39,Caucasian,Battery,0,Low,1
2844,Male,Less than 25,20,Hispanic,Pos Cannabis W/Intent Sel/Del,3,High,10
2845,Male,Greater than 45,46,Caucasian,arrest case no charge,10,Medium,5
2846,Male,25 - 45,38,Caucasian,Possession Of Methamphetamine,1,Low,1
2847,Male,25 - 45,26,Caucasian,,0,Low,2
2848,Male,Less than 25,23,Caucasian,Viol Pretrial Release Dom Viol,0,High,9
2849,Male,Greater than 45,52,African-American,Possession of Cocaine,17,High,1
2850,Male,Greater than 45,53,Caucasian,Aggravated Assault w/Firearm,3,Low,1
2851,Male,25 - 45,39,Other,Burglary Unoccupied Dwelling,6,Medium,1
2852,Male,25 - 45,25,African-American,Felony Battery,0,High,6
2853,Male,Greater than 45,52,Caucasian,Possession Of Heroin,4,Low,3
2854,Male,25 - 45,31,African-American,Driving While License Revoked,19,High,9
2855,Female,25 - 45,25,African-American,Battery,1,Low,3
2856,Male,25 - 45,26,African-American,arrest case no charge,6,Medium,6
2857,Male,25 - 45,25,African-American,Possession Burglary Tools,2,High,8
2858,Male,Less than 25,24,African-American,arrest case no charge,1,High,7
2859,Male,25 - 45,37,Caucasian,Driving While License Revoked,11,High,2
2860,Male,25 - 45,36,African-American,Grand Theft in the 3rd Degree,0,Low,1
2861,Male,25 - 45,30,Hispanic,Expired DL More Than 6 Months,9,Low,2
2862,Male,25 - 45,26,African-American,Pos Cannabis W/Intent Sel/Del,1,Medium,7
2863,Male,Less than 25,21,Other,Grand Theft in the 3rd Degree,3,Low,4
2864,Male,25 - 45,35,African-American,Resist Officer w/Violence,7,Low,2
2865,Male,Less than 25,22,African-American,Crim Use of Personal ID Info,2,Low,6
2866,Female,Greater than 45,61,Caucasian,Aggravated Assault W/Dead Weap,2,Low,1
2867,Male,25 - 45,25,Caucasian,Aggravated Battery,0,Low,3
2868,Male,Less than 25,24,Caucasian,Crim Attempt/Solicit/Consp,0,Medium,4
2869,Male,25 - 45,36,Hispanic,Operating W/O Valid License,0,Low,1
2870,Male,Less than 25,24,African-American,Susp Drivers Lic 1st Offense,2,Medium,7
2871,Male,Less than 25,21,African-American,Grand Theft in the 3rd Degree,0,High,9
2872,Male,Greater than 45,50,African-American,Battery,0,Low,1
2873,Male,25 - 45,32,Caucasian,Possession of Cocaine,15,High,6
2874,Male,25 - 45,33,African-American,Battery,2,Low,2
2875,Male,25 - 45,33,African-American,Possession of Cocaine,10,High,6
2876,Female,Less than 25,23,African-American,arrest case no charge,4,High,7
2877,Male,25 - 45,25,African-American,Grand Theft in the 3rd Degree,2,Low,6
2878,Male,25 - 45,42,Caucasian,Driving Under The Influence,0,Low,4
2879,Male,25 - 45,29,Caucasian,DUI Property Damage/Injury,0,Low,1
2880,Male,Greater than 45,50,Caucasian,DWI w/Inj Susp Lic / Habit Off,8,Low,2
2881,Male,Less than 25,22,African-American,,0,High,6
2882,Male,25 - 45,32,Caucasian,arrest case no charge,5,Medium,3
2883,Male,25 - 45,33,African-American,Driving While License Revoked,14,High,5
2884,Female,Less than 25,23,Hispanic,Grand Theft in the 3rd Degree,1,Medium,4
2885,Male,25 - 45,37,African-American,Agg Battery Grt/Bod/Harm,13,High,9
2886,Male,25 - 45,27,African-American,Burglary Unoccupied Dwelling,9,Medium,5
2887,Male,25 - 45,27,African-American,Battery,0,Low,2
2888,Male,25 - 45,28,Caucasian,Burglary Unoccupied Dwelling,3,Medium,9
2889,Male,25 - 45,26,African-American,Burgl Dwel/Struct/Convey Armed,7,Low,4
2890,Female,Greater than 45,52,African-American,Felony Petit Theft,21,Medium,1
2891,Male,Less than 25,21,Hispanic,Possess Cannabis/20 Grams Or Less,1,Medium,5
2892,Male,Greater than 45,58,African-American,arrest case no charge,1,Low,1
2893,Male,25 - 45,27,African-American,"Deliver 3,4 Methylenediox",4,High,5
2894,Male,25 - 45,36,African-American,Battery,0,Low,3
2895,Female,25 - 45,33,Caucasian,Battery,1,Low,2
2896,Male,25 - 45,28,African-American,Aggravated Assault W/o Firearm,5,Low,3
2897,Male,25 - 45,28,Caucasian,Possession of Cocaine,1,Medium,4
2898,Female,25 - 45,31,Caucasian,Battery,0,Low,2
2899,Male,25 - 45,30,Caucasian,arrest case no charge,11,High,9
2900,Male,Less than 25,24,African-American,arrest case no charge,3,Medium,7
2901,Male,25 - 45,26,African-American,Possession of Cannabis,6,High,9
2902,Male,25 - 45,43,Caucasian,DUI- Enhanced,0,Low,1
2903,Male,25 - 45,31,African-American,Crim Use of Personal ID Info,2,Low,3
2904,Male,Greater than 45,59,African-American,Resist Officer w/Violence,2,Low,1
2905,Male,25 - 45,40,African-American,Reckless Driving,4,Low,1
2906,Male,Greater than 45,54,Hispanic,,0,Low,1
2907,Male,Less than 25,22,African-American,Felony Batt(Great Bodily Harm),3,Medium,5
2908,Male,Less than 25,23,African-American,Burglary Unoccupied Dwelling,0,Medium,6
2909,Male,Less than 25,21,Hispanic,Possess Cannabis/20 Grams Or Less,2,Low,5
2910,Male,25 - 45,42,Caucasian,Driving Under The Influence,0,Low,1
2911,Male,25 - 45,34,African-American,arrest case no charge,0,Low,2
2912,Male,25 - 45,43,Caucasian,Operating W/O Valid License,3,Low,2
2913,Male,25 - 45,30,African-American,Battery,18,High,8
2914,Male,25 - 45,29,African-American,False Imprisonment,1,High,7
2915,Male,25 - 45,38,Caucasian,arrest case no charge,2,Low,2
2916,Male,Less than 25,21,Caucasian,Grand Theft in the 3rd Degree,1,Medium,8
2917,Male,25 - 45,26,Caucasian,Petit Theft $100- $300,3,Low,4
2918,Female,25 - 45,25,Hispanic,arrest case no charge,4,Medium,5
2919,Male,Less than 25,19,African-American,arrest case no charge,5,High,10
2920,Female,Greater than 45,47,Caucasian,Battery,0,Low,1
2921,Female,25 - 45,35,African-American,Battery on Law Enforc Officer,16,High,4
2922,Male,Greater than 45,51,African-American,Driving License Suspended,5,Medium,5
2923,Male,25 - 45,36,Other,Battery,0,Low,1
2924,Male,25 - 45,25,African-American,Grand Theft in the 3rd Degree,1,Medium,9
2925,Male,Greater than 45,62,Hispanic,Battery,0,Low,1
2926,Male,Less than 25,23,African-American,Grand Theft (Motor Vehicle),0,Low,4
2927,Male,25 - 45,34,African-American,arrest case no charge,7,Medium,3
2928,Male,25 - 45,35,African-American,Violation License Restrictions,1,Low,1
2929,Male,Less than 25,22,Caucasian,"Poss3,4 Methylenedioxymethcath",0,Low,5
2930,Male,25 - 45,29,African-American,Assault,10,High,8
2931,Male,25 - 45,40,African-American,Stalking (Aggravated),0,Low,1
2932,Male,25 - 45,36,African-American,Possession of Cocaine,2,Low,1
2933,Male,25 - 45,26,African-American,arrest case no charge,8,High,5
2934,Male,25 - 45,25,African-American,Burglary Structure Unoccup,1,Low,4
2935,Male,Greater than 45,69,Caucasian,DUI Level 0.15 Or Minor In Veh,0,Low,1
2936,Male,25 - 45,27,African-American,Grand Theft in the 3rd Degree,1,Low,3
2937,Male,Less than 25,20,Caucasian,Grand Theft in the 3rd Degree,0,Medium,9
2938,Male,25 - 45,27,African-American,Throw Deadly Missile Into Veh,1,Low,2
2939,Female,Less than 25,24,African-American,arrest case no charge,6,Medium,7
2940,Female,25 - 45,39,Caucasian,Grand Theft in the 3rd Degree,8,Low,2
2941,Male,25 - 45,26,Caucasian,,0,Low,2
2942,Female,Less than 25,22,Hispanic,,0,Medium,6
2943,Male,25 - 45,42,Caucasian,Aggravated Assault w/Firearm,0,Low,1
2944,Male,Greater than 45,47,Other,arrest case no charge,1,Low,1
2945,Female,Greater than 45,47,Caucasian,Battery on Law Enforc Officer,0,Low,1
2946,Male,25 - 45,25,Caucasian,Burglary Conveyance Unoccup,1,Low,2
2947,Male,25 - 45,33,African-American,Carrying Concealed Firearm,6,Low,3
2948,Male,25 - 45,29,Other,Poss Pyrrolidinovalerophenone,0,Low,2
2949,Male,Greater than 45,46,Caucasian,arrest case no charge,1,Low,1
2950,Male,25 - 45,32,African-American,arrest case no charge,5,High,6
2951,Male,25 - 45,25,African-American,Uttering a Forged Instrument,0,Low,4
2952,Male,Less than 25,22,African-American,Pos Cannabis W/Intent Sel/Del,0,Low,5
2953,Male,25 - 45,31,Caucasian,,0,Low,2
2954,Male,Less than 25,21,Caucasian,Burglary Structure Unoccup,0,Low,7
2955,Male,25 - 45,30,African-American,Battery,1,Low,3
2956,Male,Greater than 45,46,Caucasian,Battery,9,Medium,2
2957,Male,25 - 45,33,African-American,Poss Meth/Diox/Meth/Amp (MDMA),0,Low,3
2958,Male,Greater than 45,55,Hispanic,Reckless Display Of Weapon,1,Low,1
2959,Male,25 - 45,26,African-American,Battery,2,Medium,7
2960,Male,Less than 25,21,African-American,,0,Low,8
2961,Male,25 - 45,33,African-American,arrest case no charge,0,Medium,6
2962,Male,25 - 45,40,African-American,Battery,1,Low,2
2963,Male,25 - 45,34,Caucasian,Possession of Cocaine,0,Low,3
2964,Male,Less than 25,22,Caucasian,Grand Theft in the 3rd Degree,1,Low,3
2965,Male,25 - 45,28,Hispanic,arrest case no charge,3,Medium,5
2966,Male,Less than 25,21,Caucasian,,0,Low,6
2967,Male,Less than 25,22,African-American,arrest case no charge,4,High,9
2968,Male,25 - 45,31,African-American,Assault,4,Low,2
2969,Male,Greater than 45,59,Caucasian,Driving Under The Influence,3,Low,1
2970,Male,25 - 45,37,Native American,"Aggr Child Abuse-Torture,Punish",0,Low,1
2971,Female,25 - 45,41,Caucasian,arrest case no charge,1,Low,1
2972,Male,Greater than 45,50,African-American,Aggravated Battery / Pregnant,0,Low,1
2973,Female,Less than 25,21,Other,Neglect Child / No Bodily Harm,2,Low,6
2974,Male,Greater than 45,57,African-American,Felony Battery w/Prior Convict,8,Medium,2
2975,Male,25 - 45,35,Caucasian,Exposes Culpable Negligence,1,Low,4
2976,Male,25 - 45,31,African-American,Assault,5,Medium,5
